SUMLEV	GEOID	GEOCODE	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
620	620L600US51001	51001	State House District 1	1	72160	66847	2320	137	229	13	323	2291	72160	1139	71021	35901	29859	6042
620	620L600US51002	51002	State House District 2	2	95943	38461	25740	753	7258	183	10914	12634	95943	22388	73555	31317	30177	1140
620	620L600US51003	51003	State House District 3	3	71122	66683	1758	82	274	19	226	2080	71122	763	70359	35400	29741	5659
620	620L600US51004	51004	State House District 4	4	73758	69637	1359	110	296	6	293	2057	73758	786	72972	35846	31163	4683
620	620L600US51005	51005	State House District 5	5	78030	70158	2685	195	370	8	1249	3365	78030	2798	75232	39047	33098	5949
620	620L600US51006	51006	State House District 6	6	75907	70661	1201	139	288	6	828	2784	75907	1731	74176	40259	33099	7160
620	620L600US51007	51007	State House District 7	7	83156	72523	3260	163	2085	13	1132	3980	83156	2636	80520	37279	32706	4573
620	620L600US51008	51008	State House District 8	8	82648	71186	3749	154	2054	31	1181	4293	82648	2808	79840	35992	33304	2688
620	620L600US51009	51009	State House District 9	9	76561	64623	6599	201	358	34	1528	3218	76561	3004	73557	40863	32728	8135
620	620L600US51010	51010	State House District 10	10	104763	64235	7340	413	14399	53	8002	10321	104763	15204	89559	36568	35045	1523
620	620L600US51011	51011	State House District 11	11	82569	43672	25676	349	2200	50	4361	6261	82569	7557	75012	40282	36586	3696
620	620L600US51012	51012	State House District 12	12	80929	63784	4429	164	6600	39	1316	4597	80929	3481	77448	35322	31822	3500
620	620L600US51013	51013	State House District 13	13	101050	42571	12611	850	13233	60	19176	12549	101050	31034	70016	33751	32672	1079
620	620L600US51014	51014	State House District 14	14	77452	42168	29096	313	741	15	1959	3160	77452	3730	73722	39090	33889	5201
620	620L600US51015	51015	State House District 15	15	83134	73626	1889	308	568	19	2235	4489	83134	4949	78185	39379	33803	5576
620	620L600US51016	51016	State House District 16	16	76046	49877	20309	217	430	20	1776	3417	76046	3677	72369	37896	32454	5442
620	620L600US51017	51017	State House District 17	17	84277	68243	6703	266	2482	21	1638	4924	84277	3608	80669	38428	36061	2367
620	620L600US51018	51018	State House District 18	18	84745	67870	5192	362	1279	49	2995	6998	84745	7572	77173	35024	32074	2950
620	620L600US51019	51019	State House District 19	19	79238	70171	4273	189	434	27	751	3393	79238	1728	77510	37278	33090	4188
620	620L600US51020	51020	State House District 20	20	83145	68241	6938	217	792	42	1995	4920	83145	4232	78913	42063	35839	6224
620	620L600US51021	51021	State House District 21	21	87522	43787	19840	333	11816	125	2456	9165	87522	7770	79752	32397	31424	973
620	620L600US51022	51022	State House District 22	22	82424	59132	15928	247	1090	38	1298	4691	82424	2979	79445	40069	34372	5697
620	620L600US51023	51023	State House District 23	23	85216	62675	13343	301	1960	47	2280	4610	85216	3677	81539	35097	32173	2924
620	620L600US51024	51024	State House District 24	24	79775	68565	5378	370	720	58	844	3840	79775	2126	77649	36833	31423	5410
620	620L600US51025	51025	State House District 25	25	91497	78910	3374	244	1636	44	2315	4974	91497	5210	86287	37279	34732	2547
620	620L600US51026	51026	State House District 26	26	85732	62853	4821	442	2361	33	7723	7499	85732	15619	70113	33475	30360	3115
620	620L600US51027	51027	State House District 27	27	84046	52918	16623	358	2998	44	4352	6753	84046	8571	75475	33038	32011	1027
620	620L600US51028	51028	State House District 28	28	91396	51971	18740	681	3568	140	5718	10578	91396	13155	78241	33050	31523	1527
620	620L600US51029	51029	State House District 29	29	89512	70556	4967	424	1469	41	5566	6489	89512	9969	79543	37473	34935	2538
620	620L600US51030	51030	State House District 30	30	88753	64388	11109	517	1028	36	4740	6935	88753	9021	79732	35716	32758	2958
620	620L600US51031	51031	State House District 31	31	90293	45166	17046	529	7544	116	8293	11599	90293	17596	72697	28690	27982	708
620	620L600US51032	51032	State House District 32	32	101567	57234	7855	302	21862	77	3835	10402	101567	10773	90794	37524	36150	1374
620	620L600US51033	51033	State House District 33	33	96441	74900	4264	318	3385	59	4257	9258	96441	10245	86196	33807	32426	1381
620	620L600US51034	51034	State House District 34	34	83109	53197	2691	159	15933	40	2860	8229	83109	7621	75488	28545	27520	1025
620	620L600US51035	51035	State House District 35	35	92718	50166	5293	203	23568	55	3815	9618	92718	9779	82939	39992	37855	2137
620	620L600US51036	51036	State House District 36	36	85767	48761	7741	272	15584	37	4791	8581	85767	10397	75370	38327	36195	2132
620	620L600US51037	51037	State House District 37	37	86978	38980	8239	436	23541	71	6578	9133	86978	13335	73643	31145	29758	1387
620	620L600US51038	51038	State House District 38	38	83282	29400	8411	1281	16458	41	16712	10979	83282	28370	54912	28021	27120	901
620	620L600US51039	51039	State House District 39	39	83168	36292	8381	520	18425	60	9524	9966	83168	17893	65275	28598	27782	816
620	620L600US51040	51040	State House District 40	40	86857	49503	5666	314	18038	64	4309	8963	86857	10081	76776	29213	28544	669
620	620L600US51041	51041	State House District 41	41	82736	45703	5378	310	16920	50	4167	10208	82736	11587	71149	28231	27580	651
620	620L600US51042	51042	State House District 42	42	84433	48197	9773	244	12815	134	3057	10213	84433	9683	74750	28903	28116	787
620	620L600US51043	51043	State House District 43	43	86451	40334	16858	509	11295	98	7156	10201	86451	15034	71417	34704	33466	1238
620	620L600US51044	51044	State House District 44	44	84955	37471	16424	644	6199	128	13720	10369	84955	23885	61070	30341	29080	1261
620	620L600US51045	51045	State House District 45	45	94446	62961	9705	533	4525	52	6975	9695	94446	14354	80092	49698	46739	2959
620	620L600US51046	51046	State House District 46	46	87847	34728	24281	568	8310	56	9972	9932	87847	18031	69816	43606	40974	2632
620	620L600US51047	51047	State House District 47	47	92865	61963	5058	657	10033	42	5454	9658	92865	12617	80248	46450	42452	3998
620	620L600US51048	51048	State House District 48	48	89069	60738	4030	230	12575	47	2577	8872	89069	7876	81193	40502	37437	3065
620	620L600US51049	51049	State House District 49	49	91425	37008	15388	1217	13270	76	12932	11534	91425	23972	67453	43446	40893	2553
620	620L600US51050	51050	State House District 50	50	92403	40550	11367	937	8582	90	18838	12039	92403	30654	61749	29473	28669	804
620	620L600US51051	51051	State House District 51	51	91507	48306	14657	540	8103	100	7933	11868	91507	17140	74367	30489	29789	700
620	620L600US51052	51052	State House District 52	52	96642	23640	28325	953	9182	177	20757	13608	96642	34501	62141	32421	31290	1131
620	620L600US51053	51053	State House District 53	53	90002	44398	4617	569	19396	54	9977	10991	90002	18936	71066	36270	34737	1533
620	620L600US51054	51054	State House District 54	54	92677	56409	17612	482	2846	83	5692	9553	92677	11763	80914	34157	32341	1816
620	620L600US51055	51055	State House District 55	55	88538	66574	12496	338	1419	24	1851	5836	88538	4046	84492	34615	32398	2217
620	620L600US51056	51056	State House District 56	56	94240	66866	9433	304	10671	34	1412	5520	94240	3572	90668	39642	35719	3923
620	620L600US51057	51057	State House District 57	57	90063	56021	13185	296	9811	41	3733	6976	90063	8042	82021	39540	36684	2856
620	620L600US51058	51058	State House District 58	58	86619	71080	5562	202	2084	26	2154	5511	86619	4778	81841	36291	33349	2942
620	620L600US51059	51059	State House District 59	59	80792	60665	14243	242	656	25	1152	3809	80792	2437	78355	36021	31899	4122
620	620L600US51060	51060	State House District 60	60	74075	43543	25812	160	449	13	1424	2674	74075	2200	71875	35485	29991	5494
