block,district
510950801021000,1
510950801021001,1
510950801021002,1
510950801021003,1
510950801021004,1
510950801021005,1
510950801021006,1
510950801021007,1
510950801021008,1
510950801021009,1
510950801021010,1
510950801021011,1
510950801021012,1
510950801021013,1
510950801021014,1
510950801021015,1
510950801021016,1
510950801021017,1
510950801021018,1
510950801021019,1
510950801021020,1
510950801021021,1
510950801021022,1
510950801021023,1
510950801021024,1
510950801022000,1
510950801022001,1
510950801022002,1
510950801022003,1
510950801022004,1
510950801022005,1
510950801022006,1
510950801022007,1
510950801022008,1
510950801022009,1
510950801022010,1
510950801022011,1
510950801022012,1
510950801022013,1
510950801022014,1
510950801022015,1
510950801022016,1
510950801022017,1
510950801023000,1
510950801023002,1
510950801023003,1
510950801023004,1
510950801023005,1
510950801023006,1
510950801023007,1
510950801023008,1
510950801023009,1
510950801023010,1
510950801023011,1
510950801023012,1
510950801023013,1
510950801023014,1
510950801023015,1
510950801023016,1
510950801023017,1
510950801023018,1
510950801023019,1
510950801023020,1
510950801023021,1
510950801023022,1
510950801023023,1
510950801032000,1
510950801032001,1
510950801032002,1
510950801032003,1
510950801032004,1
510950801032005,1
510950801032006,1
510950801032007,1
510950801032008,1
510950801032009,1
510950801032010,1
510950801032011,1
510950801032012,1
510950801032013,1
510950801032014,1
510950801032015,1
510950801032016,1
510950801032017,1
510950801032018,1
510950801032019,1
510950801032020,1
510950801032021,1
510950801032022,1
510950801032023,1
510950801032024,1
510950801032025,1
510950801041000,1
510950802021001,1
510950802022000,1
510950802022001,1
510950802022002,1
510950802022003,1
510950802022004,1
510950802022005,1
510950802022006,1
510950802022007,1
510950802022008,1
510950802022009,1
510950802022010,1
510950802022011,1
510950802022012,1
510950802022013,1
510950802022014,1
510950802022016,1
510950802022017,1
510950802023000,1
510950802023004,1
510950802023005,1
510950802023007,1
510950802023008,1
510950802023009,1
510950802023010,1
510950802023011,1
510950802023012,1
510950802051000,1
510950802051001,1
510950802051002,1
510950802051003,1
510950802051004,1
510950802051005,1
