SUMLEV	GEOID	GEOCODE	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
050	0500000US51001	51001	Accomack County	Accomack	33413	20261	8670	297	255	4	2168	1758	33413	3430	29983	21703	14302	7401
050	0500000US51003	51003	Albemarle County	Albemarle	112395	81866	9953	286	8222	50	4101	7917	112395	8453	103942	47291	43468	3823
050	0500000US51005	51005	Alleghany County	Alleghany	15223	13813	681	27	61	7	58	576	15223	178	15045	7934	6699	1235
050	0500000US51007	51007	Amelia County	Amelia	13265	9780	2555	39	65	0	194	632	13265	425	12840	5704	5206	498
050	0500000US51009	51009	Amherst County	Amherst	31307	23190	5400	251	182	27	427	1830	31307	838	30469	14232	12746	1486
050	0500000US51011	51011	Appomattox County	Appomattox	16119	12258	2894	51	46	7	173	690	16119	344	15775	7301	6470	831
050	0500000US51013	51013	Arlington County	Arlington	238643	145293	20875	1565	27443	141	17448	25878	238643	37362	201281	119085	109912	9173
050	0500000US51015	51015	Augusta County	Augusta	77487	69142	3116	185	467	31	1103	3443	77487	2728	74759	32590	30233	2357
050	0500000US51017	51017	Bath County	Bath	4209	3855	116	6	17	2	19	194	4209	73	4136	3239	1891	1348
050	0500000US51019	51019	Bedford County	Bedford	79462	68743	4925	211	970	37	785	3791	79462	2055	77407	37249	32486	4763
050	0500000US51021	51021	Bland County	Bland	6270	5874	169	0	6	0	7	214	6270	60	6210	3200	2505	695
050	0500000US51023	51023	Botetourt County	Botetourt	33596	30689	918	70	234	3	351	1331	33596	776	32820	14888	13498	1390
050	0500000US51025	51025	Brunswick County	Brunswick	15849	6553	8607	23	44	5	214	403	15849	387	15462	7893	6191	1702
050	0500000US51027	51027	Buchanan County	Buchanan	20355	19299	618	15	51	4	20	348	20355	177	20178	10323	8483	1840
050	0500000US51029	51029	Buckingham County	Buckingham	16824	10488	5435	51	59	7	139	645	16824	413	16411	7133	5991	1142
050	0500000US51031	51031	Campbell County	Campbell	55696	43320	7832	192	604	15	928	2805	55696	1815	53881	25060	22955	2105
050	0500000US51033	51033	Caroline County	Caroline	30887	19215	7721	166	296	15	1072	2402	30887	1968	28919	12415	11446	969
050	0500000US51035	51035	Carroll County	Carroll	29155	27255	169	53	80	3	533	1062	29155	1042	28113	16579	12744	3835
050	0500000US51036	51036	Charles City County	Charles City	6773	3028	2836	448	38	6	75	342	6773	101	6672	3245	2966	279
050	0500000US51037	51037	Charlotte County	Charlotte	11529	7717	3140	22	31	6	168	445	11529	253	11276	5956	4899	1057
050	0500000US51041	51041	Chesterfield County	Chesterfield	364548	216290	83107	1589	13185	246	23175	26956	364548	40236	324312	138691	133482	5209
050	0500000US51043	51043	Clarke County	Clarke	14783	12481	578	51	212	15	439	1007	14783	887	13896	6371	5847	524
050	0500000US51045	51045	Craig County	Craig	4892	4653	13	5	11	3	22	185	4892	53	4839	2584	2111	473
050	0500000US51047	51047	Culpeper County	Culpeper	52552	36092	6567	365	776	23	4042	4687	52552	7509	45043	19185	18181	1004
