fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51001	101	CHINCOTEAGUE	3345	28	19	3067	195	36	96	4252
51001	201	ATLANTIC	1511	211	10	1087	80	123	170	792
51001	202	GREENBACKVILLE	2887	148	20	2519	149	51	105	3333
51001	401	BLOXOM	1378	192	9	895	109	173	235	639
51001	402	PARKSLEY	1725	407	22	1059	114	123	190	884
51001	501	MAPPSVILLE	1790	652	10	663	88	377	475	769
51001	502	RUE	1906	912	5	430	112	447	553	856
51001	601	ACCOMAC	2967	742	26	1547	194	458	577	1501
51001	801	BOBTOWN	1148	112	4	907	81	44	89	678
51001	901	PAINTER	3748	1720	22	1625	152	229	300	1860
51003	101	WOODBROOK	4029	593	307	2707	292	130	268	1693
51003	103	BRANCHLANDS	2391	345	140	1505	243	158	304	1078
51003	104	AGNOR-HURT	4123	791	270	2166	479	417	758	1799
51003	105	DUNLORA	4409	457	242	3275	369	66	231	2137
51003	106	NORTHSIDE	5506	611	386	3802	448	259	475	2280
51003	203	GEORGETOWN	5610	1387	487	2743	470	523	833	2852
51003	301	IVY	4801	107	168	4223	266	37	125	1923
51003	302	RED HILL	4269	219	72	3484	320	174	291	1821
51003	304	EAST IVY	1322	39	51	1107	99	26	77	626
51003	305	COUNTRY GREEN	3765	289	222	2911	217	126	215	1570
51003	401	SCOTTSVILLE	2402	149	15	2027	156	55	113	1103
51003	402	MONTICELLO	2187	98	21	1891	121	56	89	990
51003	406	STONE ROBINSON	3918	226	105	3284	208	95	145	1744
51003	501	KESWICK	1923	231	17	1500	120	55	92	1000
51003	502	STONY POINT	2007	67	25	1752	134	29	63	899
51003	503	HOLLYMEAD	3492	174	438	2582	242	56	153	1393
51003	504	FREE BRIDGE	3557	449	211	2521	255	121	277	2049
51003	601	CROZET	4707	113	99	4152	268	75	168	1950
51003	602	FREE UNION	2012	48	25	1770	137	32	87	932
51003	603	EARLYSVILLE	4042	90	52	3636	200	64	127	1667
51003	604	BROWNSVILLE	4053	176	103	3531	215	28	106	1846
51005	101	ARRITT	1554	8	2	1491	48	5	5	781
51005	103	DAMERON	610	1	0	587	22	0	1	348
51005	201	HUMPBACK BRIDGE	886	34	3	809	35	5	12	442
51005	202	DOLLY ANN	1109	45	6	992	59	7	14	544
51005	301	CALLAGHAN	828	2	3	799	22	2	4	395
51005	302	GRIFFITH	1438	16	9	1338	68	7	26	716
51005	401	LOW MOOR	1134	52	13	1020	44	5	9	505
51005	402	JACKSON HEIGHTS	1271	58	6	1169	30	8	18	660
51005	501	IRON GATE	532	27	1	473	28	3	6	255
51005	502	PETERS SWITCH	1538	7	3	1483	28	17	8	889
51005	601	DISTRICT 1	2214	169	7	1930	92	16	34	1107
51005	701	DISTRICT 2	2056	262	8	1669	100	17	40	1266
51007	101	NUMBER ONE	2535	503	7	1806	181	38	92	1083
51007	201	NUMBER TWO	2751	452	21	2124	114	40	54	1128
51007	301	NUMBER THREE	2669	510	10	1976	123	50	103	1156
