SUMLEV	GEOCODE	GEOID	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
140	51013102802	1400000US51013102802	Census Tract 1028.02	1028.02	1317	942	58	3	69	1	59	185	1317	200	1117	508	493	15
140	51013102803	1400000US51013102803	Census Tract 1028.03	1028.03	2748	1048	450	57	400	5	404	384	2748	800	1948	1353	1295	58
140	51013102804	1400000US51013102804	Census Tract 1028.04	1028.04	5339	1640	1027	89	843	4	1007	729	5339	1733	3606	2246	2160	86
140	51013102901	1400000US51013102901	Census Tract 1029.01	1029.01	2904	2220	162	7	131	0	72	312	2904	288	2616	1729	1679	50
140	51013102903	1400000US51013102903	Census Tract 1029.03	1029.03	1625	1266	75	5	66	0	37	176	1625	160	1465	947	902	45
140	51013102904	1400000US51013102904	Census Tract 1029.04	1029.04	3125	1548	535	15	230	1	415	381	3125	730	2395	1847	1724	123
140	51013103000	1400000US51013103000	Census Tract 1030	1030	3390	2770	87	10	90	4	84	345	3390	318	3072	1731	1657	74
140	51001090101	1400000US51001090101	Census Tract 901.01	901.01	1799	1658	17	7	12	0	7	98	1799	46	1753	2026	897	1129
140	51001090102	1400000US51001090102	Census Tract 901.02	901.02	1545	1409	11	6	7	1	15	96	1545	50	1495	2225	783	1442
140	51001090201	1400000US51001090201	Census Tract 902.01	902.01	3990	2958	742	13	28	0	53	196	3990	137	3853	3877	1794	2083
140	51001090202	1400000US51001090202	Census Tract 902.02	902.02	3046	1653	1100	32	35	0	99	127	3046	160	2886	1516	1287	229
140	51001090300	1400000US51001090300	Census Tract 903	903	2093	1400	345	41	9	0	145	153	2093	259	1834	1189	883	306
140	51001090401	1400000US51001090401	Census Tract 904.01	904.01	2455	1033	814	69	14	0	402	123	2455	601	1854	1127	899	228
140	51001090402	1400000US51001090402	Census Tract 904.02	904.02	3281	1229	1195	84	15	0	561	197	3281	809	2472	1485	1203	282
140	51001090500	1400000US51001090500	Census Tract 905	905	2721	1408	754	4	31	1	336	187	2721	472	2249	1305	1079	226
140	51001090600	1400000US51001090600	Census Tract 906	906	3900	2854	723	14	25	1	88	195	3900	189	3711	2400	1829	571
140	51001090700	1400000US51001090700	Census Tract 907	907	5220	2967	1684	10	74	0	246	239	5220	361	4859	2707	2223	484
140	51001090800	1400000US51001090800	Census Tract 908	908	3362	1692	1285	17	5	1	216	146	3362	346	3016	1844	1423	421
140	51001980100	1400000US51001980100	Census Tract 9801	9801	1	0	0	0	0	0	0	1	1	0	1	1	1	0
140	51001980200	1400000US51001980200	Census Tract 9802	9802	0	0	0	0	0	0	0	0	0	0	0	1	1	0
140	51001990100	1400000US51001990100	Census Tract 9901	9901	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	51001990200	1400000US51001990200	Census Tract 9902	9902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	51003010100	1400000US51003010100	Census Tract 101	101	5147	4668	98	10	59	2	58	252	5147	148	4999	2245	1988	257
140	51003010201	1400000US51003010201	Census Tract 102.01	102.01	5550	4278	491	10	222	3	110	436	5550	315	5235	2148	2042	106
140	51003010202	1400000US51003010202	Census Tract 102.02	102.02	3238	2875	46	7	50	2	58	200	3238	138	3100	1371	1275	96
140	51003010301	1400000US51003010301	Census Tract 103.01	103.01	1939	1224	189	6	204	2	151	163	1939	265	1674	858	807	51
140	51003010302	1400000US51003010302	Census Tract 103.02	103.02	1450	1134	24	0	163	1	26	102	1450	75	1375	526	505	21
140	51003010303	1400000US51003010303	Census Tract 103.03	103.03	5685	4196	310	26	520	0	172	461	5685	414	5271	2226	2103	123
140	51003010401	1400000US51003010401	Census Tract 104.01	104.01	4201	3422	350	19	63	2	72	273	4201	170	4031	2020	1733	287
140	51003010402	1400000US51003010402	Census Tract 104.02	104.02	3605	3084	161	12	85	2	74	187	3605	132	3473	1607	1457	150
140	51003010501	1400000US51003010501	Census Tract 105.01	105.01	3004	2480	121	0	179	1	26	197	3004	71	2933	1274	1197	77
140	51003010502	1400000US51003010502	Census Tract 105.02	105.02	3371	2384	445	5	197	6	107	227	3371	262	3109	1937	1828	109
140	51003010602	1400000US51003010602	Census Tract 106.02	106.02	4409	3275	457	9	242	1	56	369	4409	231	4178	2137	1994	143
140	51003010603	1400000US51003010603	Census Tract 106.03	106.03	2391	1505	345	16	140	0	142	243	2391	304	2087	1078	1027	51
140	51003010604	1400000US51003010604	Census Tract 106.04	106.04	4029	2707	593	6	307	3	121	292	4029	268	3761	1693	1605	88
