locality,type,region,full_locality_name,fips_id,countyfp
Accomack,County,Eastern,Accomack County,51001,001
Albemarle,County,Central,Albemarle County,51003,003
Alexandria,City,Northern,Alexandria City,51510,510
Alleghany,County,Valley,Alleghany County,51005,005
Amelia,County,Central,Amelia County,51007,007
Amherst,County,West Central,Amherst County,51009,009
Appomattox,County,West Central,Appomattox County,51011,011
Arlington,County,Northern,Arlington County,51013,013
Augusta,County,Valley,Augusta County,51015,015
Bath,County,Valley,Bath County,51017,017
Bedford,County,West Central,Bedford County,51019,019
Bland,County,Southwest,Bland County,51021,021
Botetourt,County,West Central,Botetourt County,51023,023
Bristol,City,Southwest,Bristol City,51520,520
Brunswick,County,Southside,Brunswick County,51025,025
Buchanan,County,Southwest,Buchanan County,51027,027
Buckingham,County,Southside,Buckingham County,51029,029
Buena Vista,City,Valley,Buena Vista City,51530,530
Campbell,County,West Central,Campbell County,51031,031
Caroline,County,Central,Caroline County,51033,033
Carroll,County,Southwest,Carroll County,51035,035
Charles City,County,Central,Charles City County,51036,036
Charlotte,County,Southside,Charlotte County,51037,037
Charlottesville,City,Central,Charlottesville City,51540,540
Chesapeake,City,Hampton Roads,Chesapeake City,51550,550
Chesterfield,County,Central,Chesterfield County,51041,041
Clarke,County,Northern,Clarke County,51043,043
Colonial Heights,City,Central,Colonial Heights City,51570,570
Covington,City,Valley,Covington City,51580,580
Craig,County,West Central,Craig County,51045,045
Culpeper,County,Northern,Culpeper County,51047,047
Cumberland,County,Southside,Cumberland County,51049,049
Danville,City,Southside,Danville City,51590,590
Dickenson,County,Southwest,Dickenson County,51051,051
Dinwiddie,County,Central,Dinwiddie County,51053,053
Emporia,City,Southside,Emporia City,51595,595
Essex,County,Eastern,Essex County,51057,057
Fairfax,City,Northern,Fairfax City,51600,600
Fairfax,County,Northern,Fairfax County,51059,059
Falls Church,City,Northern,Falls Church City,51610,610
Fauquier,County,Northern,Fauquier County,51061,061
Floyd,County,West Central,Floyd County,51063,063
Fluvanna,County,Central,Fluvanna County,51065,065
Franklin,City,Southside,Franklin City,51620,620
Franklin,County,West Central,Franklin County,51067,067
Frederick,County,Valley,Frederick County,51069,069
Fredericksburg,City,Northern,Fredericksburg City,51630,630
